trading_date,grid_zone_id,grid_zone_name,bat_wap,bat_mwh,cg_wap,cg_mwh,cog_wap,cog_mwh,gas_wap,gas_mwh,geo_wap,geo_mwh,hyd_wap,hyd_mwh,liq_wap,liq_mwh,sol_wap,sol_mwh,win_wap,win_mwh,run_time,bat_mwh_delta,cg_mwh_delta,cog_mwh_delta,gas_mwh_delta,geo_mwh_delta,hyd_mwh_delta,liq_mwh_delta,sol_mwh_delta,win_mwh_delta
2025-04-07 12:00:00+00:00,15,NZ,285.93,5.97,286.67,3937.35,276.28,334.87,285.7,6951.28,285.74,11082.46,298.84,25213.63,0,0,283.21,315.44,286.09,11718.27,2025-04-08 14:08:20.813162+12:00,,,,,,,,,
2025-04-07T12:00:00Z,15,NZ,285.93,5.97,286.08,4132.08,275.66,345.95,284.98,7238.7,285.13,11451.15,297.56,26389.68,0,0,282.69,348.32,285.32,12111.61,2025-04-08 14:37:47.374482+12:00,0.0,194.73,11.08,287.42,368.69,1176.05,0.0,32.88,393.34
2025-04-07T12:00:00Z,15,NZ,285.93,5.97,289.11,4326.84,277.37,356.61,287.27,7523.45,287.04,11819.72,299.62,27597.2,0,0,287.46,371.6,286.93,12481.0,2025-04-08 15:08:43.446631+12:00,0.0,194.76,10.66,284.75,368.57,1207.52,0.0,23.28,369.39
2025-04-07T12:00:00Z,15,NZ,285.93,5.97,289.43,4521.12,277.43,367.19,287.37,7808.65,287.17,12187.35,299.28,28776.24,0,0,288.46,403.13,286.89,12870.45,2025-04-08 15:37:48.417478+12:00,0.0,194.28,10.58,285.2,367.63,1179.04,0.0,31.53,389.45
